,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
148,2018-08-23,52.40000153,55.91999817,51.04999924,54.29999924,11232000,0,0,3.63%
149,2018-08-24,55.52999878,59.79999924,55.00999832,58.61999893,14694000,0,0,5.56%
150,2018-08-27,62.31000137,62.79000092,58.49000168,60,12584600,0,0,-3.71%
151,2018-08-28,56.75,57.84000015,53.13000107,55.90000153,12932700,0,0,-1.50%
152,2018-08-29,57.52999878,59.77000046,56.09000015,59.77000046,10153900,0,0,3.89%
153,2018-08-30,58.15000153,59.83000183,56.00999832,57.68000031,9987800,0,0,-0.81%
154,2018-08-31,57.97999954,60.63000107,57.79999924,59.63999939,8365000,0,0,2.86%
155,2018-09-04,62,69.19999695,61.18999863,68.83000183,13774400,0,0,11.02%
156,2018-09-05,73.18000031,74.44999695,64.19999695,68.47000122,20022700,0,0,-6.44%
157,2018-09-06,66.23999786,67.5,63.02999878,66.51999664,8981300,0,0,0.42%
158,2018-09-07,65.58999634,69.30999756,64.19999695,67.73999786,7010600,0,0,3.28%
159,2018-09-10,68.80000305,70.18000031,67.41999817,68.62000275,5765700,0,0,-0.26%
160,2018-09-11,68.5,68.58999634,65.54000092,66.91000366,5503200,0,0,-2.32%
161,2018-09-12,65.90000153,67.90000153,63.36000061,66.30999756,5867000,0,0,0.62%
162,2018-09-13,66.09999847,66.87999725,56.90000153,57.27999878,8762600,0,0,-13.34%
163,2018-09-14,52.81000137,62.06000137,52.79999924,61.52000046,9709000,0,0,16.49%
164,2018-09-17,63.95000076,65.25,60.54999924,63.22999954,5757000,0,0,-1.13%
165,2018-09-18,64.94000244,68,63.75999832,67.33000183,6687800,0,0,3.68%
166,2018-09-19,70.41000366,72,59.70000076,63.45999908,11693300,0,0,-9.87%
167,2018-09-20,64.98999786,67.56999969,62.56999969,67.56999969,5434300,0,0,3.97%
168,2018-09-21,65.48999786,66.65000153,63.84999847,64.45999908,3951700,0,0,-1.57%
169,2018-09-24,62.63999939,68.54000092,62.02000046,67.94999695,4581500,0,0,8.48%
170,2018-09-25,69.94000244,71.18000031,68.11000061,68.25,5474000,0,0,-2.42%
171,2018-09-26,68.68000031,69.41000366,66.26999664,67.63999939,5097100,0,0,-1.51%
172,2018-09-27,66.51000214,66.63999939,63.79999924,64.30000305,6171200,0,0,-3.32%
173,2018-09-28,63,66.19000244,62.75,62.75,3519800,0,0,-0.40%
174,2018-10-01,64.25,65.5,62.00999832,62.59999847,2821500,0,0,-2.57%
175,2018-10-02,62.50999832,63.33000183,57.59999847,58.54999924,3370000,0,0,-6.33%
176,2018-10-03,59.79999924,63.31999969,58.97999954,63.31999969,3179100,0,0,5.89%
177,2018-10-04,63.88000107,64.62999725,61.34000015,62.47999954,3414300,0,0,-2.19%
178,2018-10-05,62.49000168,63.84999847,60.13999939,61.49000168,2559000,0,0,-1.60%
179,2018-10-09,65,65.13999939,62.59999847,63.09000015,2895800,0,0,-2.94%
180,2018-10-10,62.86000061,64.98999786,60.54999924,62.75999832,3386900,0,0,-0.16%
181,2018-10-11,61.36999893,62.97999954,60.65999985,61.29000092,2968400,0,0,-0.13%
182,2018-10-12,62.41999817,65.12000275,62.18999863,64.90000153,3760000,0,0,3.97%
183,2018-10-15,65.66000366,74,65.52999878,73.75,7647400,0,0,12.32%
184,2018-10-16,76,76.68000031,66.30999756,68.69999695,8690100,0,0,-9.61%
185,2018-10-17,65.25,68.69999695,62.77999878,65.76000214,5957100,0,0,0.78%
186,2018-10-18,65.52999878,68.30000305,63.41999817,63.93999863,3424800,0,0,-2.43%
187,2018-10-19,65.19999695,66.98999786,59.61000061,61.29999924,5218300,0,0,-5.98%
188,2018-10-22,61.00999832,62.75999832,51.99000168,54.45999908,7166000,0,0,-10.74%
189,2018-10-23,48.65000153,55.43000031,48.11999893,53.63000107,8142000,0,0,10.24%
190,2018-10-24,55.20000076,55.65000153,49.08000183,49.54000092,4500200,0,0,-10.25%
191,2018-10-25,49,53.65000153,48.93999863,51.52999878,4147600,0,0,5.16%
192,2018-10-26,50.63999939,52.79000092,49.25,50.63000107,3113900,0,0,-0.02%
193,2018-10-29,51.40000153,52,42.5,43.47999954,5494000,0,0,-15.41%
194,2018-10-30,42,45.84999847,41.79999924,44.41999817,6205500,0,0,5.76%
195,2018-10-31,46.36999893,49.16999817,45.45999908,48.43000031,4925300,0,0,4.44%
